humedad,temperatura,altitud,dias_almacenamiento,puntaje_sensorial,calidad_clase
11,20,1650,30,85,Alta
10.5,19,1720,25,88,Alta
12,21,1580,45,78,Media
14,24,1400,60,65,Baja
11.2,20,1800,20,90,Alta
13,23,1500,90,60,Baja
10.8,18,1680,35,82,Alta
12.5,22,1550,50,72,Media
15,26,1300,100,55,Baja
11,19,1750,28,87,Alta
10,20,1600,40,80,Media
13.5,25,1450,70,68,Baja
11.5,21,1700,32,84,Alta
12,20,1620,55,75,Media
14.5,27,1280,95,58,Baja
10.2,18,1780,22,89,Alta
11.8,22,1590,48,76,Media
13.2,24,1420,80,62,Baja
10.5,19,1740,30,86,Alta
12.8,23,1530,65,70,Media
